"@timestamp","route_info.vid","route_info.location","route_info.timestamp"
"Apr 18, 2023 @ 20:26:17.592",DL1PC9997,"POINT (77.253135 28.586621)","Apr 18, 2023 @ 20:25:59.000"
"Apr 18, 2023 @ 20:25:11.803",DL1PC9997,"POINT (77.253135 28.586621)","Apr 18, 2023 @ 20:24:59.000"
"Apr 18, 2023 @ 20:23:29.516",DL1PC9997,"POINT (77.253275 28.586745)","Apr 18, 2023 @ 20:23:19.000"
"Apr 18, 2023 @ 20:22:20.538",DL1PC9997,"POINT (77.253178 28.586735)","Apr 18, 2023 @ 20:22:09.000"
"Apr 18, 2023 @ 20:21:04.734",DL1PC9997,"POINT (77.253101 28.586728)","Apr 18, 2023 @ 20:20:49.000"
"Apr 18, 2023 @ 20:19:52.325",DL1PC9997,"POINT (77.253263 28.586622)","Apr 18, 2023 @ 20:19:39.000"
"Apr 18, 2023 @ 20:18:40.233",DL1PC9997,"POINT (77.253233 28.586783)","Apr 18, 2023 @ 20:18:09.000"
"Apr 18, 2023 @ 20:17:33.120",DL1PC9997,"POINT (77.253153 28.586798)","Apr 18, 2023 @ 20:17:19.000"
"Apr 18, 2023 @ 20:16:30.826",DL1PC9997,"POINT (77.253225 28.586712)","Apr 18, 2023 @ 20:16:19.000"
"Apr 18, 2023 @ 20:15:20.596",DL1PC9997,"POINT (77.25318 28.586833)","Apr 18, 2023 @ 20:15:09.000"
"Apr 18, 2023 @ 20:14:16.295",DL1PC9997,"POINT (77.25332 28.586824)","Apr 18, 2023 @ 20:13:59.000"
"Apr 18, 2023 @ 20:12:56.432",DL1PC9997,"POINT (77.253376 28.586795)","Apr 18, 2023 @ 20:12:39.000"
"Apr 18, 2023 @ 20:11:35.895",DL1PC9997,"POINT (77.25331 28.586798)","Apr 18, 2023 @ 20:11:19.000"
"Apr 18, 2023 @ 20:10:31.743",DL1PC9997,"POINT (77.253204 28.586779)","Apr 18, 2023 @ 20:10:19.000"
"Apr 18, 2023 @ 20:09:20.552",DL1PC9997,"POINT (77.25306 28.586845)","Apr 18, 2023 @ 20:09:09.000"
"Apr 18, 2023 @ 20:08:19.854",DL1PC9997,"POINT (77.253191 28.586393)","Apr 18, 2023 @ 20:08:09.000"
"Apr 18, 2023 @ 20:07:18.565",DL1PC9997,"POINT (77.253141 28.586615)","Apr 18, 2023 @ 20:06:59.000"
"Apr 18, 2023 @ 20:06:18.356",DL1PC9997,"POINT (77.253281 28.586608)","Apr 18, 2023 @ 20:05:59.000"
"Apr 18, 2023 @ 20:04:58.172",DL1PC9997,"POINT (77.25336 28.586312)","Apr 18, 2023 @ 20:04:39.000"
"Apr 18, 2023 @ 20:03:47.663",DL1PC9997,"POINT (77.253191 28.586575)","Apr 18, 2023 @ 20:03:29.000"
"Apr 18, 2023 @ 20:02:45.608",DL1PC9997,"POINT (77.252887 28.586795)","Apr 18, 2023 @ 20:02:29.000"
"Apr 18, 2023 @ 20:01:45.088",DL1PC9997,"POINT (77.253005 28.586789)","Apr 18, 2023 @ 20:01:29.000"
"Apr 18, 2023 @ 20:00:21.375",DL1PC9997,"POINT (77.252754 28.586667)","Apr 18, 2023 @ 20:00:09.000"
"Apr 18, 2023 @ 19:59:20.361",DL1PC9997,"POINT (77.25315 28.586762)","Apr 18, 2023 @ 19:59:09.000"
"Apr 18, 2023 @ 19:58:14.063",DL1PC9997,"POINT (77.23456 28.613424)","Apr 18, 2023 @ 19:41:38.000"
"Apr 18, 2023 @ 19:57:08.927",DL1PC9997,"POINT (77.23456 28.613424)","Apr 18, 2023 @ 19:41:38.000"
"Apr 18, 2023 @ 19:55:19.892",DL1PC9997,"POINT (77.23456 28.613424)","Apr 18, 2023 @ 19:41:38.000"
"Apr 18, 2023 @ 19:54:19.959",DL1PC9997,"POINT (77.23456 28.613424)","Apr 18, 2023 @ 19:41:38.000"
"Apr 18, 2023 @ 19:52:56.468",DL1PC9997,"POINT (77.23456 28.613424)","Apr 18, 2023 @ 19:41:38.000"
